2022 Resident Population by Metropolitan Statistical Area (Thousands of Persons)
Series ID,Region Name,Region Code,2022-01-01
"TRTPOP","Trenton, NJ","45940","380.688"
"TUCPOP","Tucson, AZ","46060","1057.597"
"TULPOP","Tulsa, OK","46140","1034.123"
"TUSPOP","Tuscaloosa, AL","46220","277.494"
"TYLPOP","Tyler, TX","46340","241.922"
"URHPOP","Urban Honolulu, HI","46520","995.638"
"HONPOP","Urban Honolulu, HI","46520",""
"UTAPOP","Utica-Rome, NY","46540","288.668"
"VLDPOP","Valdosta, GA","46660","149.849"
"VFRPOP","Vallejo-Fairfield, CA","46700","448.747"
"VICPOP","Victoria, TX","47020","98.196"
"VINPOP","Vineland-Bridgeton, NJ","47220","151.356"
"NFKPOP","Virginia Beach-Norfolk-Newport News, VA-NC","47260","1806.84"
"VTPPOP","Visalia-Porterville, CA","47300","477.544"
"WACPOP","Waco, TX","47380","283.885"
"WRRPOP","Warner Robins, GA","47580","198.193"
"WSHPOP","Washington-Arlington-Alexandria, DC-VA-MD-WV","47900","6373.756"
"WATPOP","Waterloo-Cedar Falls, IA","47940","167.889"
"WASPOP","Wausau, WI","48140","166.334"
"WNCPOP","Wenatchee, WA","48300","124.118"
"WHLPOP","Wheeling, WV-OH","48540","136.708"
"WICPOP","Wichita, KS","48620","650.039"
"WIFPOP","Wichita Falls, TX","48660","149.299"
"WSPPOP","Williamsport, PA","48700","113.104"
"WLMPOP","Wilmington, NC","48900","300.658"
"WCHPOP","Winchester, VA-WV","49020","146.455"
"WSAPOP","Winston-Salem, NC","49180","688.471"
"WSTPOP","Worcester, MA-CT","49340","980.137"
"YAKPOP","Yakima, WA","49420","257.001"
"YRKPOP","York-Hanover, PA","49620","461.058"
"YNGPOP","Youngstown-Warren-Boardman, OH-PA","49660","535.499"
"YUBPOP","Yuba City, CA","49700","182.813"
"YUMPOP","Yuma, AZ","49740","207.842"
