mls_hash,listing_source_master_id,address,city,state,zip,property_type,price,listed_dt,pend_dt,is_in_listings
-2319995726298807944,881000,314 Howard Ave,NEW HAVEN,CT,06519,1400,400000,,2023-06-02,False
-2315171434556373618,807000,2027 Massachusetts Avenue,BUTTE,MT,59701,100,299000,,2023-06-02,False
-2314070634135587243,623000,East 90th Street,NEW YORK,NY,10128,200,1625000,,2023-06-02,False
-2313807875466433866,208000,20723 WHITEWOOD HOLLOW RD,STURGIS,SD,57785,500,459000,,2023-06-02,False
-2312258578387475079,208000,8006 E CHEROKEE RD,SYRACUSE,IN,46567,100,529000,,2023-06-02,False
-2311984735348438574,881000,164 Babcock St,HARTFORD,CT,06106,1400,825000,,2023-06-02,False
-2309288801692381588,740000,3906 N Shadywood Drive,MIDWEST CITY,OK,73110,100,155000,,2023-06-02,False
-2309288801692119196,740000,208 S Fox Drive,MIDWEST CITY,OK,73110,100,119000,,2023-06-02,False
-2309288788782760790,740000,1007 Jet Drive,MIDWEST CITY,OK,73110,100,125000,,2023-06-02,False
-2308661864000609543,369000,59 Greenwood Drive,BLACKWOOD,NJ,08012,100,299999,,2023-06-02,False
-2307156808207483748,664000,147 Logrono Ct,SAINT AUGUSTINE,FL,32084,100,328990,,2023-06-02,False
-2306377035617261731,602000,822 Bridge Water LOOP,DRIPPING SPRINGS,TX,78620,100,1300000,,2023-06-02,False
-2306309954296050142,664000,140 Logrono Ct,SAINT AUGUSTINE,FL,32084,100,324990,,2023-06-02,False
-2306084904268557338,207000,2621 S 28th Street,SAINT JOSEPH,MO,64503,100,58825,,2023-06-02,False
-2305848250598454576,398000,3800 Sanibel Circle 3816,REHOBOTH BEACH,DE,19971,200,529900,,2023-06-02,False
-2304284330300948929,475000,2906 Longhorn Cir,MANVEL,TX,77578,100,412000,,2023-06-02,False
-2303483122371037810,207000,2703 Harrison Pike,CHATTANOOGA,TN,37406,100,185000,,2023-06-02,False
-2303316925423495926,229000,2410 E Cold Spring Ln E,BALTIMORE,MD,21214,100,180000,,2023-06-02,False
-2300522671405981472,224000,1113 LORENZO LN #268,SMYRNA,DE,19977,100,139900,,2023-06-02,False
-2300358864335497200,229000,5433 E Friess Dr,SCOTTSDALE,AZ,85254,100,1150000,,2023-06-02,False
-2300358864335431601,229000,5210 E Waltann Ln,SCOTTSDALE,AZ,85254,100,560000,,2023-06-02,False
-2298749346882475644,346000,120 South Monte Vista Drive,GLADE SPRING,VA,24340,100,259900,,2023-06-02,False
-2298342894642928794,487000,341 Bowman Loop,CROSSVILLE,TN,38571,500,235000,,2023-06-02,False
-2297928590912969393,881000,77 Mitchell St,BRISTOL,CT,06010,1300,249000,,2023-06-02,False
-2297081754214385389,881000,194 Martin Rd,BRISTOL,CT,06010,1300,235000,,2023-06-02,False
-2296158170334566040,742000,23 Deer Road,LEWISTON,ME,04240,100,299900,,2023-06-02,False
-2296158170334500435,742000,22 Ventura Street,LEWISTON,ME,04240,100,299900,,2023-06-02,False
-2295952582673577393,881000,50 Roberts Trace #50,BRISTOL,CT,06010,1300,319900,,2023-06-02,False
-2295952574067447786,881000,516 Brook St,BRISTOL,CT,06010,1300,229900,,2023-06-02,False
-2295663452913109893,638000,502 W Laughton,MERIDIAN,ID,83646,100,549900,,2023-06-02,False
-2295663448610274686,638000,3913 N Dashwood Ave,MERIDIAN,ID,83646,100,489990,,2023-06-02,False
-2295663444306980287,638000,5473 N N Beaham Ave,MERIDIAN,ID,83646,100,589900,,2023-06-02,False
-2295663444306849093,638000,5139 N Black Sand Ave,MERIDIAN,ID,83646,100,575000,,2023-06-02,False
-2295663435700522686,638000,4888 N Selway Falls Ln,MERIDIAN,ID,83646,100,412000,,2023-06-02,False
-2295663431397293888,638000,2051 NW 8th St,MERIDIAN,ID,83646,100,349900,,2023-06-02,False
-2295663427094196280,638000,4403 W Double Spring Dr,MERIDIAN,ID,83646,100,814900,,2023-06-02,False
-2295663427094196276,638000,6324 N Joy Ave,MERIDIAN,ID,83646,100,915000,,2023-06-02,False
-2295663427093999482,638000,6123 S Pioneer Trail Way,MERIDIAN,ID,83646,100,855902,,2023-06-02,False
-2295663427093999481,638000,2910 E Brace St,MERIDIAN,ID,83646,100,784429,,2023-06-02,False
-2295663427093999479,638000,6105 S Cubola Way,MERIDIAN,ID,83646,100,773024,,2023-06-02,False
-2295663427093737092,638000,6087 S Cubola Way,MERIDIAN,ID,83646,100,822586,,2023-06-02,False
-2295663427093737091,638000,6095 S Pioneer Trail Way,MERIDIAN,ID,83646,100,824713,,2023-06-02,False
-2295663427093737090,638000,6087 S Pioneer Trail Way,MERIDIAN,ID,83646,100,756977,,2023-06-02,False
-2295663427093737089,638000,6175 S Cubola Way,MERIDIAN,ID,83646,100,763005,,2023-06-02,False
-2295663427093737088,638000,6356 S Cubola Way,MERIDIAN,ID,83646,100,665672,,2023-06-02,False
-2295107290111300799,229000,1742 Woodtree Circle,ANNAPOLIS,MD,21409,200,340000,,2023-06-02,False
-2294594731827553154,242000,22013 Curie Avenue,WARREN,MI,48091,100,127900,,2023-06-02,False
-2293057455224370602,517000,1229 Iroquois Drive,BATAVIA,IL,60510,100,465000,,2023-06-02,False
-2292871844714181855,229000,14305 Sinclair Cir,MAGALIA,CA,95954,100,305000,,2023-06-02,False
-2288325992165600529,856000,7991 Wild Currant Way Court Se 124,CALEDONIA,MI,49316,100,564900,,2023-06-02,False
-2286914515905826134,856000,9142 Village Station Court Se,CALEDONIA,MI,49316,100,389900,,2023-06-02,False
-2282428020202367039,208000,1795 RIALTO AVE S,SALEM,OR,97306,100,384900,,2023-06-02,False
-2282363716398664974,866000,3015 Ella Katherine Way,CHARLOTTE,NC,28210,100,1413136,,2023-06-02,False
